1841,3.25
1981,3.25
1981,3.25
1918,3.25
1896,3.1
1896,3.1
1897,3.1
1752,3.15
1752,3.15
1840,3.15
942,3.28
942,3.28
1074,3.28
1171,3.25
1171,3.25
5877.3073486793301,2.8270467183629737

5877.3073486793301,2.8120454030933115
5877.3073486793301,2.8132497001525003
5877.3073486793301,2.8132497001525003
5877.3073486793301,2.8132497001525003
3164.5319203198951,3.0561258214118139
3164.5319203198951,3.0572774629324342
-3344.6648264654405,3.6331281940460123
-4701.0525406451588,3.7559137881659925
-5739.2911072671595,3.8536795381760744
-6524.7052673662702,3.9238722186464776
5877.3073486793301,2.8163425986969286
5878.3073486793301,2.8147052256507963
5878.3073486793301,2.8147260538838896
5878.3073486793301,2.8144430312482327
5878.3073486793301,2.8124562417680421
5878.3073486793301,2.812981325111791
5878.3073486793301,2.8124942256571974
5878.3073486793301,2.8111237509506841
5878.3073486793301,2.8126333049248293
5877.3073486793301,3.8124926660706828
